time	V(n003)
2.100000060000000e-01	9.685445e-02
2.100000100000000e-01	1.019547e-01
2.100000112000000e-01	1.019921e-01
2.100000128000000e-01	1.020308e-01
2.100000160000000e-01	1.020759e-01
2.100000224000000e-01	1.020812e-01
2.100000326922014e-01	1.019637e-01
2.100000439539378e-01	1.017410e-01
2.100000574141760e-01	1.014139e-01
2.100000791334246e-01	1.008468e-01
2.100001225719220e-01	9.974372e-02
2.100002094489167e-01	9.786432e-02
2.100003209959962e-01	9.611236e-02
2.100004268633150e-01	9.510249e-02
2.100005456368527e-01	9.450890e-02
2.100006761259791e-01	9.419921e-02
2.100008477015564e-01	9.403543e-02
2.100010626398129e-01	9.396867e-02
2.100013750995675e-01	9.394777e-02
2.100018368470336e-01	9.394412e-02
2.200000000000000e-01	9.394410e-02
2.200000009825423e-01	9.647958e-02
2.200000029476270e-01	1.015734e-01
2.200000060698307e-01	1.097204e-01
2.200000100000000e-01	1.200249e-01
2.200000103930169e-01	1.195580e-01
2.200000111790508e-01	1.186188e-01
2.200000127511185e-01	1.167184e-01
2.200000158952539e-01	1.128513e-01
2.200000200000000e-01	1.077277e-01
2.200000212314238e-01	1.076945e-01
2.200000228733223e-01	1.076412e-01
2.200000261571192e-01	1.075168e-01
2.200000327247130e-01	1.072292e-01
2.200000458599006e-01	1.065712e-01
2.200000721302758e-01	1.051871e-01
2.200001246710262e-01	1.027499e-01
2.200001752329702e-01	1.011388e-01
2.200002210834753e-01	1.003176e-01
2.200002628164796e-01	9.983633e-02
2.200003072849528e-01	9.942158e-02
2.200003420271980e-01	9.917970e-02
2.200003763155234e-01	9.902357e-02
2.200004130191584e-01	9.892282e-02
2.200004864264283e-01	9.882280e-02
2.200006140006286e-01	9.876076e-02
2.200008631945334e-01	9.873912e-02
2.200011863581892e-01	9.873778e-02
2.200018326855009e-01	9.873810e-02
2.290051100000000e-01	9.873804e-02
2.300000000000000e-01	9.873804e-02
2.300000010000000e-01	9.999084e-02
2.300000030000000e-01	1.025083e-01
2.300000060000000e-01	1.063127e-01
2.300000100000000e-01	1.114151e-01
2.300000112000000e-01	1.114534e-01
2.300000128000000e-01	1.114933e-01
2.300000160000000e-01	1.115409e-01
2.300000224000000e-01	1.115511e-01
2.300000326896924e-01	1.114411e-01
2.300000439527736e-01	1.112258e-01
2.300000573911217e-01	1.109068e-01
2.300000788499755e-01	1.103556e-01
2.300001217676831e-01	1.092753e-01
2.300002076030983e-01	1.074210e-01
2.300003197603293e-01	1.056486e-01
2.300004251245959e-01	1.046309e-01
2.300005443010941e-01	1.040258e-01
2.300006739476486e-01	1.037119e-01
2.300008455628421e-01	1.035443e-01
2.300010588669989e-01	1.034760e-01
2.300013705233475e-01	1.034544e-01
2.300018273096625e-01	1.034506e-01
2.400000000000000e-01	1.034506e-01
2.400000010000000e-01	1.138341e-01
2.400000030000000e-01	1.346888e-01
2.400000060000000e-01	1.661476e-01
2.400000100000000e-01	2.082417e-01
2.400000104000000e-01	2.046857e-01
