Freq.	V(nc_01)
1.62181009735891e+00	(-1.51175001795751e+01dB,-4.81421410342305e-02°)
1.62554875575047e+00	(-1.51175001937277e+01dB,-4.82531200784796e-02°)
1.62929603263970e+00	(-1.51175002079456e+01dB,-4.83643549554844e-02°)
1.63305194789432e+00	(-1.51175002222292e+01dB,-4.84758462549949e-02°)
1.63681652142779e+00	(-1.51175002365786e+01dB,-4.85875945681315e-02°)
1.64058977319952e+00	(-1.51175002509943e+01dB,-4.86996004873589e-02°)
1.64437172321491e+00	(-1.51175002654766e+01dB,-4.88118646065224e-02°)
1.64816239152549e+00	(-1.51175002800257e+01dB,-4.89243875208349e-02°)
1.65196179822900e+00	(-1.51175002946419e+01dB,-4.90371698268716e-02°)
1.65576996346951e+00	(-1.51175003093256e+01dB,-4.91502121225985e-02°)
1.65958690743754e+00	(-1.51175003240771e+01dB,-4.92635150073415e-02°)
1.66341265037015e+00	(-1.51175003388967e+01dB,-4.93770790818247e-02°)
1.66724721255104e+00	(-1.51175003537847e+01dB,-4.94909049481452e-02°)
1.67109061431069e+00	(-1.51175003687414e+01dB,-4.96049932097981e-02°)
1.67494287602642e+00	(-1.51175003837671e+01dB,-4.97193444716591e-02°)
1.67880401812254e+00	(-1.51175003988622e+01dB,-4.98339593400048e-02°)
1.68267406107045e+00	(-1.51175004140270e+01dB,-4.99488384225126e-02°)
1.68655302538872e+00	(-1.51175004292617e+01dB,-5.00639823282506e-02°)
1.69044093164324e+00	(-1.51175004445668e+01dB,-5.01793916676980e-02°)
1.69433780044731e+00	(-1.51175004599426e+01dB,-5.02950670527401e-02°)
1.69824365246172e+00	(-1.51175004753893e+01dB,-5.04110090966757e-02°)
1.70215850839493e+00	(-1.51175004909073e+01dB,-5.05272184142124e-02°)
1.70608238900310e+00	(-1.51175005064969e+01dB,-5.06436956214740e-02°)
1.71001531509027e+00	(-1.51175005221585e+01dB,-5.07604413360055e-02°)
1.71395730750840e+00	(-1.51175005378924e+01dB,-5.08774561767838e-02°)
1.71790838715757e+00	(-1.51175005536989e+01dB,-5.09947407642019e-02°)
1.72186857498599e+00	(-1.51175005695783e+01dB,-5.11122957200895e-02°)
1.72583789199018e+00	(-1.51175005855311e+01dB,-5.12301216677055e-02°)
1.72981635921508e+00	(-1.51175006015575e+01dB,-5.13482192317479e-02°)
1.73380399775412e+00	(-1.51175006176578e+01dB,-5.14665890383517e-02°)
1.73780082874935e+00	(-1.51175006338325e+01dB,-5.15852317151039e-02°)
1.74180687339159e+00	(-1.51175006500819e+01dB,-5.17041478910255e-02°)
1.74582215292048e+00	(-1.51175006664062e+01dB,-5.18233381966002e-02°)
1.74984668862464e+00	(-1.51175006828059e+01dB,-5.19428032637508e-02°)
1.75388050184174e+00	(-1.51175006992813e+01dB,-5.20625437258752e-02°)
1.75792361395867e+00	(-1.51175007158327e+01dB,-5.21825602178132e-02°)
1.76197604641161e+00	(-1.51175007324606e+01dB,-5.23028533758749e-02°)
1.76603782068614e+00	(-1.51175007491652e+01dB,-5.24234238378478e-02°)
1.77010895831740e+00	(-1.51175007659468e+01dB,-5.25442722429741e-02°)
1.77418948089014e+00	(-1.51175007828060e+01dB,-5.26653992319764e-02°)
1.77827941003890e+00	(-1.51175007997430e+01dB,-5.27868054470524e-02°)
1.78237876744807e+00	(-1.51175008167581e+01dB,-5.29084915318853e-02°)
1.78648757485203e+00	(-1.51175008338518e+01dB,-5.30304581316307e-02°)
1.79060585403527e+00	(-1.51175008510244e+01dB,-5.31527058929452e-02°)
1.79473362683250e+00	(-1.51175008682762e+01dB,-5.32752354639731e-02°)
1.79887091512876e+00	(-1.51175008856077e+01dB,-5.33980474943418e-02°)
1.80301774085955e+00	(-1.51175009030192e+01dB,-5.35211426351845e-02°)
1.80717412601090e+00	(-1.51175009205111e+01dB,-5.36445215391375e-02°)
1.81134009261958e+00	(-1.51175009380836e+01dB,-5.37681848603409e-02°)
1.81551566277311e+00	(-1.51175009557374e+01dB,-5.38921332544402e-02°)
1.81970085860996e+00	(-1.51175009734725e+01dB,-5.40163673785871e-02°)
1.82389570231961e+00	(-1.51175009912896e+01dB,-5.41408878914595e-02°)
1.82810021614272e+00	(-1.51175010091889e+01dB,-5.42656954532491e-02°)
1.83231442237119e+00	(-1.51175010271708e+01dB,-5.43907907256635e-02°)
